id;socle;partie;titres;chapitres;numero_article_isole;texte_integral;texte_simplifie;affichage_article;mots_cles
10;SOCLE COMMUN;PARTIE II ÉGALITÉ PROFESSIONNELLE, NON DISCRIMINATION, LIBERTÉS INDIVIDUELLES ET EMPLOI DES TRAVAILLEURS HANDICAPÉS;---;CHAPITRE I Égalité de traitement entre les salariés et non-discrimination;11;"Article 11  Différences de traitement autorisées
Les principes d'égalité de traitement et de non-discrimination ne font pas obstacle aux différences de traitement, lorsqu'elles répondent à des critères objectifs :
une exigence professionnelle essentielle et déterminante ;  dont l'objectif est légitime et l'exigence proportionnée.
(1) Le 3e alinéa de l'article 10 est étendu sous réserve du respect des dispositions de l'article L. 1132-1 du code du travail";L'égalité entre les femmes et les hommes est obligatoire. Pour un même travail, le salaire doit être le même. Les femmes et les hommes doivent avoir les mêmes chances pour les formations ou les promotions. L'employeur ne peut pas refuser d'embaucher une femme parce qu'elle est enceinte ou qu'elle a des enfants.;Article 11  Différences de traitement autorisées;Compétences, compétence, qualité, qualités
11;SOCLE COMMUN;PARTIE II ÉGALITÉ PROFESSIONNELLE, NON DISCRIMINATION, LIBERTÉS INDIVIDUELLES ET EMPLOI DES TRAVAILLEURS HANDICAPÉS;---;CHAPITRE II. Égalité professionnelle entre les femmes et les hommes;12;"Article 12  Principe d'égalité professionnelle entre les femmes et les hommes
L'égalité professionnelle entre les femmes et les hommes est un principe fondamental qui s'impose dans toutes les dimensions de la relation de travail entre les particuliers employeurs et leurs salariés.
Les partenaires sociaux portent une attention particulière à la stricte égalité entre les femmes et les hommes dans l'élaboration des dispositions conventionnelles.
Les particuliers employeurs veilleront à respecter le principe d'égalité professionnelle entre les femmes et les hommes, notamment en matière d'embauche, de rémunération, d'accès à la formation professionnelle.";Les syndicats ont le droit d'exister et de collecter des cotisations. L'employeur ne doit pas demander au salarié s'il appartient à un syndicat. Les représentants des syndicats peuvent avoir des heures de délégation (temps payé) pour faire leur travail de défense des salariés et participer aux réunions nationales.;Article 12  Principe d'égalité professionnelle entre les femmes et les hommes;Homme, femme égalité
12;SOCLE COMMUN;PARTIE II ÉGALITÉ PROFESSIONNELLE, NON DISCRIMINATION, LIBERTÉS INDIVIDUELLES ET EMPLOI DES TRAVAILLEURS HANDICAPÉS;---;CHAPITRE II. Égalité professionnelle entre les femmes et les hommes;12-1;"Article 12-1 Egalité en matière d'embauche
Il est rappelé que les critères retenus pour le recrutement ne peuvent prendre en considération l'appartenance du candidat à l'un ou l'autre sexe et doivent être strictement fondés sur les compétences professionnelles et la qualification des candidats à l'embauche.";;Article 12-1 Egalité en matière d'embauche;Compétence
13;SOCLE COMMUN;PARTIE II ÉGALITÉ PROFESSIONNELLE, NON DISCRIMINATION, LIBERTÉS INDIVIDUELLES ET EMPLOI DES TRAVAILLEURS HANDICAPÉS;---;CHAPITRE II. Égalité professionnelle entre les femmes et les hommes;12-2;"Article 12-2 Egalité de rémunération
Les partenaires sociaux soulignent leur attachement au principe d'égalité de rémunération entre les femmes et les hommes pour un même travail ou un travail de valeur égale tel que défini par les dispositions légales.";;Article 12-2 Egalité de rémunération;Égalité, rémunération
14;SOCLE COMMUN;PARTIE II ÉGALITÉ PROFESSIONNELLE, NON DISCRIMINATION, LIBERTÉS INDIVIDUELLES ET EMPLOI DES TRAVAILLEURS HANDICAPÉS;---;CHAPITRE II. Égalité professionnelle entre les femmes et les hommes;12-3;"Article 12-3 Egalité d'accès à la formation professionnelle
La formation professionnelle étant un levier essentiel pour assurer l'égalité entre les femmes et les hommes dans l'accès à l'emploi et dans leurs parcours professionnels, les salariés doivent bénéficier d'un égal accès à tous ses dispositifs.";;Article 12-3 Egalité d'accès à la formation professionnelle;Égalité, formation, professionnelle
15;SOCLE COMMUN;PARTIE II ÉGALITÉ PROFESSIONNELLE, NON DISCRIMINATION, LIBERTÉS INDIVIDUELLES ET EMPLOI DES TRAVAILLEURS HANDICAPÉS;---;CHAPITRE II. Égalité professionnelle entre les femmes et les hommes;13;"Article 13  Mesures visant à assurer l'égalité professionnelle
Les organisations syndicales et professionnelles représentatives dans le secteur des particuliers employeurs et de l'emploi à domicile pourront notamment s'appuyer sur l'Observatoire des emplois de la famille afin d'apprécier la mixité des emplois du secteur et les éventuelles inégalités entre les femmes et les hommes dans l'accès à l'emploi et à la formation professionnelle continue.
Le cas échéant, elles devront dans le cadre des négociations collectives menées au niveau de la branche du secteur des particuliers employeurs et de l'emploi à domicile, préconiser des mesures permettant de remédier aux inégalités constatées.
Par ailleurs, les organisations syndicales et professionnelles représentatives s'engagent à poursuivre leurs travaux destinés à favoriser l'accès à la formation professionnelle des salariés du secteur, dans le respect du principe d'égalité professionnelle entre les femmes et les hommes.";Le droit de grève est autorisé pour les salariés. Si un salarié fait grève, son contrat est suspendu : il ne travaille pas et n'est pas payé, mais il ne peut pas être licencié pour cela. La grève doit être collective et avoir pour but de demander de meilleures conditions de travail ou de meilleurs salaires.;Article 13  Mesures visant à assurer l'égalité professionnelle;Mesure
16;SOCLE COMMUN;PARTIE II ÉGALITÉ PROFESSIONNELLE, NON DISCRIMINATION, LIBERTÉS INDIVIDUELLES ET EMPLOI DES TRAVAILLEURS HANDICAPÉS;---;CHAPITRE III Libertés individuelles;14;"Article 14  Liberté syndicale et liberté d'opinion
Les partenaires sociaux rappellent que la liberté d'opinion et la liberté syndicale sont reconnues pour l'ensemble des salariés.
Tout particulier employeur s'engage à respecter les opinions de son ou ses salariés et à ne pas prendre en considération l'appartenance à un syndicat ou l'exercice d'une activité syndicale pour arrêter toute décision relative à l'embauche, à l'exécution du contrat de travail ou à la rupture du contrat de travail notamment en ce qui concerne les conditions de travail, la formation professionnelle, l'évolution professionnelle ou encore en matière de mesures de discipline.";;Article 14  Liberté syndicale et liberté d'opinion;Liberté, syndicat, opinion
17;SOCLE COMMUN;PARTIE II ÉGALITÉ PROFESSIONNELLE, NON DISCRIMINATION, LIBERTÉS INDIVIDUELLES ET EMPLOI DES TRAVAILLEURS HANDICAPÉS;---;CHAPITRE IV Emploi des personnes en situation de handicap;15;"Article 15  Le droit à l'emploi des personnes en situation de handicap
Les partenaires sociaux portent une attention particulière à l'emploi des personnes en situation de handicap dans le secteur des particuliers employeurs et de l'emploi à domicile et s'engagent à rechercher des mesures et conditions leur permettant d'accéder ou de conserver un emploi, de l'exercer ou de se former.";"La convention collective peut être modifiée par un ""avenant"". Si un syndicat ou une organisation d'employeurs veut changer une règle, elle doit inviter les autres à discuter dans les 3 mois. Si tout le monde est d'accord et signe le nouveau texte, celui-ci est envoyé au gouvernement pour être appliqué partout en France.";Article 15  Le droit à l'emploi des personnes en situation de handicap;Emploi, handicap
18;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE I Principes généraux et régime du droit syndical du collège salarié;16;Article 16  Qualité pour siéger au sein des commissions paritaires de la branche et modalités de désignation;;Article 16  Qualité pour siéger au sein des commissions paritaires de la branche et modalités de désignation;Qui
19;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE I Principes généraux et régime du droit syndical du collège salarié;16-1;"Article 16-1 Qualité pour siéger au sein des commissions paritaires de la branche
Chaque organisation syndicale et professionnelle représentative dans le champ d'application de la présente convention collective désigne, à l'issue de chaque nouvelle mesure de représentativité, les représentants composant sa délégation en vue de siéger au sein des commissions paritaires de la branche. Sous cette réserve, la composition de chacune des commissions paritaires est régie par les dispositions qui leur sont propres et décrites par la présente partie III.
En vue de renforcer la qualité du dialogue social, dès lors qu'une délégation au sein d'une commission est composée de plus d'un représentant, chaque organisation syndicale s'efforce de désigner au moins un salarié relevant du champ d'application de la présente convention collective, en vue de siéger au sein de sa délégation. Il est précisé qu'il s'agit d'une obligation de moyen et non de résultat.";;Article 16-1 Qualité pour siéger au sein des commissions paritaires de la branche;dialogue, dispositions, professionnelle, salarié, social
20;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE I Principes généraux et régime du droit syndical du collège salarié;16-2;"Article 16-2 Modalités de désignation des représentants
Chaque organisation syndicale et professionnelle représentative dans le champ d'application conventionnel de la présente convention collective adresse par courriel, sans condition de délais, au secrétariat de la branche la liste des représentants composant sa délégation.
Les organisations sont libres de renouveler leurs représentants à tout moment.";;Article 16-2 Modalités de désignation des représentants;Représentant, CCN
21;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE I Principes généraux et régime du droit syndical du collège salarié;17;"Article 17  Régime applicable aux représentants désignés pour siéger au sein des commissions paritaires de la branche
Deux régimes coexistent :
l'un est applicable aux représentants du collège "" salarié "" ayant la qualité de salarié de la branche ;  l'autre est applicable aux représentants du collège "" salarié "" n'ayant pas la qualité de salarié de
la branche.";;Article 17  Régime applicable aux représentants désignés pour siéger au sein des commissions paritaires de la branche;régime, salarié, CNN
22;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE I Principes généraux et régime du droit syndical du collège salarié;17-1;Article 17-1 Régime applicable aux représentants ayant la qualité de salarié de la branche pour leur participation aux commissions paritaires de branche;;Article 17-1 Régime applicable aux représentants ayant la qualité de salarié de la branche pour leur participation aux commissions paritaires de branche;régime, salarié, CNN, non salarié
23;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE I Principes généraux et régime du droit syndical du collège salarié;17-1-1;"Article 17-1-1 Régime de l'absence des salariés de la branche pour leur participation aux commissions paritaires de branche (1)
Les salariés relevant du champ d'application conventionnel de la présente convention collective bénéficient d'une autorisation d'absence, dans la limite de dix-huit (18) heures par trimestre civil, en vue de siéger au sein des commissions paritaires d˚ment convoquées, sous réserve du respect des conditions cumulatives suivantes :
le salarié justifie d'un mandat de l'une des organisations syndicales représentatives dans le champ d'application conventionnel le désignant en vue de siéger au sein d'une commission paritaire ;
le salarié notifie son absence par écrit, quelle qu'en soit la forme, à son (ou ses) employeur(s) au moins dix (10) jours calendaires avant la date de la commission paritaire, sauf cas de force majeure au sens du code civil ;
le salarié notifie à son ou ses employeur(s) une convocation écrite ou tout autre justificatif probant émanant du secrétariat de la branche.
Les absences entrant dans le cadre du présent article ne peuvent en aucun cas être imputées sur les congés payés du salarié.
Sous réserve des conditions énumérées au présent article, chaque salarié bénéficiant d'une autorisation d'absence bénéficie d'un maintien de salaire. Le salaire est maintenu par son ou ses employeurs au titre des heures passées en réunion comprises dans l'horaire habituel de travail, étant précisé que celles-ci sont assimilées à du temps de travail effectif. Le temps passé en réunion qui n'est pas compris dans l'horaire habituel de travail et le temps de déplacement du salarié ne sont ni rémunérés ni indemnisés. (2)
Le maintien de salaire est pris en charge sur les fonds du paritarisme et remboursé aux particuliers employeurs concernés, conformément aux dispositions prévues à l'article 31-4-1-1-1 du présent socle commun.";;Article 17-1-1 Régime de l'absence des salariés de la branche pour leur participation aux commissions paritaires de branche (1);absences, représentant
24;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE I Principes généraux et régime du droit syndical du collège salarié;17-1-2;"Article 17-1-2 Régime de l'indemnisation des salariés pour leur participation aux commissions paritaires de branche (1)
Les frais de déplacement, de repas et d'hôtel engagés par les salariés bénéficiant d'une autorisation d'absence dans le respect des règles de l'article 17-1-1 du présent socle commun en vue d'assister aux commissions paritaires sont pris en charge sur le fonds de développement du dialogue social et du paritarisme conformément aux dispositions de l'article 31-4-1-1-1 du présent socle commun.
(2) Au 6e alinéa de l'article 17-1-1, les mots "" Le salaire est maintenu par son ou ses employeurs au titre des heures passées en réunion comprises dans l'horaire habituel de travail, étant précisé que celles-ci sont assimilées à du temps de travail effectif. Le temps passé en réunion qui n'est pas compris dans l'horaire habituel de travail et le temps de déplacement du salarié ne sont ni rémunérés ni indemnisés. "" sont exclus de l'extension, en tant qu'ils contreviennent aux jurisprudences de la Cour de cassation (Cass. soc., 13 févr. 2013, n∞ 11-23.880 et Cass. soc., 12 juin 2013, n∞ 12-12.806).";;Article 17-1-2 Régime de l'indemnisation des salariés pour leur participation aux commissions paritaires de branche (1);Indemnisation,
25;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE I Principes généraux et régime du droit syndical du collège salarié;17-2;"Article 17-2 Régime applicable aux représentants n'ayant pas la qualité de salarié de la branche (1)
Les frais de déplacement, de repas et d'hôtel engagés par les représentants n'ayant pas la qualité de salarié de la branche désignés par les organisations syndicales en vue d'assister aux commissions paritaires de branche conformément aux dispositions de l'article 16 du présent socle commun sont pris en charge sur le fonds de développement du dialogue social et du paritarisme conformément aux dispositions de l'article 31-4-1-1-1 du présent socle commun.";;Article 17-2 Régime applicable aux représentants n'ayant pas la qualité de salarié de la branche (1);Indemnisation
26;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE I Principes généraux et régime du droit syndical du collège salarié;18;Article 18  Régime applicable aux salariés de la branche participant à la vie statutaire de leur syndicat ou à une formation syndicale;;Article 18  Régime applicable aux salariés de la branche participant à la vie statutaire de leur syndicat ou à une formation syndicale;formation, régime
27;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE I Principes généraux et régime du droit syndical du collège salarié;18-1;"Article 18-1 Régime de l'absence des salariés de la branche pour leur participation à la vie statutaire de leur syndicat ou à une formation syndicale
Les salariés relevant du champ d'application de la présente convention collective bénéficient d'une autorisation d'absence, dans la limite de cinq (5) jours par année civile, en vue de participer à un congrès, une assemblée statutaire de leur syndicat ou encore à une formation syndicale sous réserve du respect des conditions cumulatives suivantes :
le salarié notifie son absence par écrit, quelle qu'en soit la forme, à son (ou ses) employeur(s) au moins trente (30) jours calendaires avant la date de l'événement ;
le salarié notifie à son ou ses employeur(s) une convocation écrite ou tout autre justificatif probant émanant de son organisation syndicale.
Les absences entrant dans le cadre du présent article ne peuvent en aucun cas être imputées sur les congés payés du salarié.
Sous réserve des conditions énumérées au présent article, chaque salarié bénéficiant d'une autorisation d'absence bénéficie d'un maintien de salaire. Le salaire est maintenu par son ou ses employeurs au titre des heures passées en formation syndicale, Congrès ou Assemblée Générale comprises dans l'horaire habituel de travail, étant précisé que celles-ci sont assimilées à du temps de travail effectif. Le temps passé en formation syndicale, Congrès ou Assemblée Générale qui n'est pas compris dans l'horaire habituel de travail et le temps de déplacement du salarié ne sont ni rémunérés ni indemnisés.
Le maintien de salaire est pris en charge sur les fonds du paritarisme et remboursé aux particuliers employeurs concernés, conformément aux dispositions prévues à l'article 31-4-1-1-1 du présent socle commun.";;Article 18-1 Régime de l'absence des salariés de la branche pour leur participation à la vie statutaire de leur syndicat ou à une formation syndicale;Absence salarié branche
28;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE I Principes généraux et régime du droit syndical du collège salarié;18-2;"Article 18-2 Régime de l'indemnisation des salariés de la branche pour leur participation à une formation syndicale
Les frais de déplacement, de repas et d'hôtel engagés par les salariés bénéficiant d'une autorisation d'absence dans le respect des règles de l'article 18.1 du présent socle commun en vue d'assister à une formation syndicale sont pris en charge sur le fonds de développement du dialogue social et du paritarisme conformément aux dispositions de l'article 31-4-1-1-1 du présent socle commun.
(1) Les articles 17-1-1, 17-1-2 et 17-2 sont étendus sous réserve du respect des articles L. 2232-8, L. 2234-3 et de l'application du principe d'égalité à valeur constitutionnelle résultant de l'article 6 de la Déclaration des droits de l'homme et du citoyen du 26 ao˚t 1789 et du 6e alinéa du préambule de la Constitution de 1946, tel qu'interprété par la Cour de Cassation (Cass. soc. 29 mai 2001, Cegelec).";;Article 18-2 Régime de l'indemnisation des salariés de la branche pour leur participation à une formation syndicale;dialogue, dispositions, développement, fonds, formation, paritarisme, régime, social
29;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE II Commissions paritaires;19;"Article 19  Commission Paritaire Permanente de Négociation et d'Interprétation
Il est institué une Commission Paritaire Permanente de Négociation et d'Interprétation (CPPNI) dans la branche du secteur des particuliers employeurs et de l'emploi à domicile.";;Article 19  Commission Paritaire Permanente de Négociation et d'Interprétation;CPPNI
30;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE II Commissions paritaires;19-1;Article 19-1 Missions de la CPPNI (1);;Article 19-1 Missions de la CPPNI (1);CPPNI
31;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE II Commissions paritaires;19-1-1;"Article 19-1-1 Missions d'intérêt général
La CPPNI est chargée de représenter la branche vis-à-vis des pouvoirs publics.
Elle exerce un rôle de veille sur les conditions de travail et l'emploi. Dans ce cadre, elle peut notamment s'appuyer sur le rapport sectoriel ainsi que sur les différents bilans établis par les commissions paritaires.
Elle établit un rapport annuel d'activité sur les négociations menées au niveau de la branche.";;Article 19-1-1 Missions d'intérêt général;CPPNI
32;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE II Commissions paritaires;19-1-2;"Article 19-1-2 Mission de négociation
La CPPNI est l'instance de négociation et de conclusion des accords collectifs de la branche ainsi que de leurs avenants et annexes.
La CPPNI définit le calendrier de ses réunions de négociation.";;Article 19-1-2 Mission de négociation;CPPNI
33;SOCLE COMMUN;PARTIE III DIALOGUE SOCIAL ET RELATIONSCOLLECTIVES DU TRAVAIL AU NIVEAU DE LA BRANCHE;---;CHAPITRE II Commissions paritaires;19-1-3;"Article 19-1-3 Mission d'interprétation
La CPPNI veille au respect et à l'application de la présente convention collective, de ses avenants et annexes et étudie les difficultés d'interprétation et d'application pouvant résulter de leur mise en oeuvre.
Sur saisine, elle émet des avis d'interprétation.";;Article 19-1-3 Mission d'interprétation;CPPNI
